Battery Place,40.7060685,-74.0179645,40.706175,-74.01793
East 16th Street,40.729777,-73.9747418,40.729072,-73.973055
East 58th Street,40.7609338,-73.967036,40.7599854,-73.9647985
Columbus Avenue,40.7864873,-73.9721756,40.7858043,-73.9726737
Henry Street,40.713021,-73.994459,40.7130528,-73.994075
Broadway,40.8391601,-73.9410885,40.8398471,-73.9405865
Hudson River Greenway,40.8536346,-73.9408066,40.8539641,-73.9405657
Manhattan Bridge,40.7055185,-73.9896746,40.7051285,-73.9894783
East 118th Street,40.7992528,-73.9390621,40.7983076,-73.9368206
West 120th Street,40.8058175,-73.9507291,40.8057503,-73.9505698
East 36th Street,40.745798,-73.974306,40.745068,-73.972576
Payson Avenue,40.8689939,-73.9239522,40.868991,-73.9240171
FDR Drive,40.785689,-73.9398087,40.7853966,-73.940152
Saint Anns Avenue,40.814269,-73.912954,40.814926,-73.912579
3rd Avenue,40.745726,-73.978121,40.746392,-73.977636
East 82nd Street,40.7782718,-73.9607012,40.7776358,-73.9591925
West 119th Street,40.810373,-73.963477,40.810755,-73.964424
East 127th Street,40.8039822,-73.9324599,40.803435,-73.931159
West 54th Street,40.7692291,-73.99486,40.7683614,-73.9928228
East 110th Street,40.7961784,-73.9476292,40.7967256,-73.9489191
6th Avenue,40.763023,-73.9781397,40.7636462,-73.9776851
Central Park Powell Boulevard Approach,40.7993772,-73.9554246,40.7992983,-73.9555206
East 4th Street,40.7270585,-73.991472,40.726188,-73.989429
Stuyvesant Walk,40.7311515,-73.9787416,40.7312946,-73.9785613
Park Row,40.7116652,-74.0043239,40.711697,-74.0041028
Broome Street,40.721063,-73.998196,40.721421,-73.999031
Ludlow Street,40.722541,-73.9870998,40.72241,-73.9871669
3rd Avenue,40.787753,-73.947461,40.788383,-73.947002
Broadway,40.8023769,-73.9676659,40.8025796,-73.9676219
Harlem River Drive,40.8498545,-73.9266962,40.8504194,-73.9263787
Hudson River Greenway,40.7693967,-73.995229,40.7693187,-73.995288
21st Rd,40.783575,-73.918279,40.782385,-73.916593
Broadway,40.718627,-74.002538,40.718026,-74.003046
West 119th Street,40.806353,-73.953957,40.8069537,-73.9553818
Central Park-Center Drive,40.765675,-73.976234,40.7658183,-73.9761954
Henry Hudson Parkway,40.801528,-73.9738915,40.8009822,-73.9742434
Riverside Drive Sidewalk,40.8669246,-73.9309357,40.866884,-73.930875
Fort Washington Avenue,40.84281,-73.942013,40.842154,-73.942279
William Street,40.708699,-74.007286,40.709557,-74.006435
East River Greenway,40.7299258,-73.9719383,40.7296006,-73.9717184
Hudson River Greenway,40.8670882,-73.9319388,40.8671231,-73.9319652
West 34th Street,40.7560207,-74.0025769,40.7567413,-74.0042952
Henry Hudson Parkway,40.8663173,-73.9327916,40.8660349,-73.9329463
Lincoln Tunnel,40.7607614,-74.006161,40.7571921,-73.9974647
Centre Street,40.719786,-73.998524,40.720836,-73.997655
Broadway,40.7620648,-73.9836282,40.761424,-73.98405
FDR Drive,40.7228422,-73.9740839,40.7231024,-73.9739294
Walnut Avenue,40.799258,-73.91206,40.799851,-73.911458
Park Avenue,40.8036999,-73.939855,40.8043271,-73.9393972
Fort Tryon Place,40.863004,-73.932228,40.862963,-73.932312
Hudson River Greenway,40.7622458,-74.0013155,40.7621213,-74.0014475
Bridge Street,40.7035675,-74.0118829,40.7035187,-74.0115825
Lenox Avenue,40.810942,-73.943172,40.811568,-73.942721
Edgecombe Avenue,40.8341592,-73.9381315,40.8343493,-73.9379896
Delancey Street,40.7194034,-73.9913272,40.7191757,-73.9905547
97th Street Transverse,40.7916004,-73.9645142,40.7915835,-73.9644432
Grand Street,40.717343,-73.991176,40.717201,-73.990703
Central Park Driveway,40.7773735,-73.9741014,40.7772926,-73.9741385
Hillside Avenue,40.8584081,-73.9289784,40.8584145,-73.928858
8th Avenue,40.755951,-73.990726,40.756567,-73.990276
West 122nd Street,40.8070725,-73.9498151,40.8070115,-73.949671
Riverside Dr,40.8379956,-73.9472602,40.8379219,-73.9471963
FDR Drive,40.765849,-73.9514797,40.7651442,-73.9520687
8th Avenue,40.801858,-73.957238,40.802488,-73.956778
Columbus Avenue,40.7845384,-73.973597,40.7839022,-73.9740609
Broadway,40.8271631,-73.9500994,40.8264958,-73.9505823
West Houston Street,40.7282399,-74.0028423,40.7282039,-74.0026858
Reservoir Running Track,40.7848194,-73.9664755,40.7845687,-73.9661322
20th Ave,40.785026,-73.913807,40.78456,-73.913144
Stan Michels Promenade,40.8611969,-73.933538,40.8607935,-73.9335727
Riverside Drive,40.812477,-73.963904,40.812299,-73.963881
Harlem River Drive,40.8321938,-73.935141,40.8323875,-73.9351591
86th St Transverse,40.7828273,-73.9636263,40.7829061,-73.9636573
East River Greenway,40.7389751,-73.972782,40.7395319,-73.972664
FDR Drive,40.7033011,-74.0073589,40.7035679,-74.0069211
West 85th Street,40.7881993,-73.978373,40.789254,-73.980853
Broadway,40.8596364,-73.9312076,40.8600595,-73.9310455
West 45th Street,40.757968,-73.985551,40.7584614,-73.9867288
West Drive,40.7828815,-73.9691386,40.7825937,-73.9693851
Robert F. Kennedy Bridge,40.799567,-73.925769,40.799642,-73.925964
145th Street Bridge,40.8194743,-73.9337051,40.8194857,-73.9338178
1st Avenue,40.743095,-73.974015,40.743782,-73.973512
West Drive,40.7923522,-73.9621639,40.7919611,-73.9623643
Hudson River Greenway,40.7298046,-74.0108241,40.7297432,-74.0108296
Broadway,40.8637037,-73.9298898,40.8637441,-73.9298666
East 88th Street,40.7814189,-73.9561147,40.7807949,-73.9546347
Hudson River Greenway,40.8671032,-73.9320081,40.8670757,-73.9320378
Cathedral Parkway,40.8050391,-73.9681739,40.8051367,-73.9681253
FDR Drive,40.7165061,-73.9756975,40.7157905,-73.976058
East 72nd Street,40.7697467,-73.9606037,40.7688015,-73.9583631
FDR Drive,40.7557679,-73.960662,40.756041,-73.9604302
West 63rd Street,40.7745584,-73.9896525,40.7750162,-73.9907676
Broadway,40.8296535,-73.9482817,40.8290241,-73.9487404
79th Street Transverse Road,40.7806353,-73.9716517,40.7806028,-73.9716487
East 80th Street,40.777677,-73.96323,40.7770011,-73.9616294
West Road,40.761007,-73.9518486,40.761664,-73.951567
Grand Street,40.722978,-74.005059,40.722718,-74.004448
Park Avenue,40.7522389,-73.9773982,40.7521411,-73.9771569
Audubon Ave,40.842915,-73.93659,40.84355,-73.936126
