40.7194367,-74.0051749,6th Avenue,Walker Street
40.7195858,-74.0052168,6th Avenue,Walker Street
40.74102,-73.9941666,6th Avenue,West 20th Street
40.742223,-73.9932895,6th Avenue,West 22nd Street
40.7428904,-73.992803,6th Avenue,West 23rd Street
40.7460245,-73.9905199,6th Avenue,West 28th Street
40.746649,-73.9900671,6th Avenue,West 29th Street
40.74047,-73.998287,7th Avenue,West 17th Street
40.7327335,-73.9743738,Avenue C,East 20th Street
40.7354336,-73.9751248,East 23rd Street,Avenue C
40.7404281,-73.9945954,6th Avenue,West 19th Street
40.7413435,-73.9891367,Broadway,East 23rd Street
40.7344163,-73.9899024,4th Avenue,East 14th Street
40.7359491,-73.9894041,East 16th Street,Union Square East
40.7358757,-73.9874033,East 17th Street,Irving Place
40.7389198,-73.9873663,East 21st Street,Park Avenue South
40.7394891,-73.9847459,East 23rd Street,Lexington Avenue
40.7401587,-73.9842698,Lexington Avenue,East 24th Street
40.7413912,-73.9833659,Lexington Avenue,East 26th Street
